user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
a100000029,01/01/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/01/2018,,House Ads,TRUE
a100000030,01/01/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/01/2018,,House Ads,TRUE
a100000031,01/01/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/01/2018,,House Ads,TRUE
a100000032,01/01/2018,House Ads,personalization,TRUE,English,English,30-36 years,01/01/2018,,House Ads,TRUE
a100000033,01/01/2018,House Ads,personalization,TRUE,English,English,36-45 years,01/01/2018,,House Ads,TRUE
a100000034,01/01/2018,House Ads,personalization,TRUE,German,German,45-55 years,01/01/2018,,House Ads,TRUE
a100000035,01/01/2018,House Ads,personalization,TRUE,English,English,55+ years,01/01/2018,,House Ads,TRUE
a100000036,01/01/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/01/2018,,House Ads,TRUE
a100000037,01/01/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/01/2018,,House Ads,TRUE
a100000038,01/01/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/01/2018,,House Ads,TRUE
a100000039,01/01/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/01/2018,,House Ads,TRUE
a100000040,01/01/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/01/2018,1/18/18,House Ads,FALSE
a100000041,01/01/2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,01/01/2018,2/22/18,House Ads,FALSE
a100000042,01/01/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/01/2018,03/09/2018,House Ads,FALSE
a100000043,01/01/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/01/2018,2/18/18,House Ads,FALSE
a100000044,01/01/2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,01/01/2018,03/03/2018,House Ads,FALSE
a100000045,01/02/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/02/2018,02/04/2018,House Ads,FALSE
a100000046,01/02/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/02/2018,01/09/2018,House Ads,FALSE
a100000047,01/02/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/02/2018,02/04/2018,House Ads,FALSE
a100000048,01/02/2018,House Ads,personalization,TRUE,German,German,0-18 years,01/02/2018,1/21/18,House Ads,FALSE
a100000049,01/02/2018,House Ads,personalization,TRUE,German,German,19-24 years,01/02/2018,,House Ads,TRUE
a100000050,01/02/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/02/2018,,House Ads,TRUE
a100000050,01/01/2018,House Ads,personalization,FALSE,English,English,24-30 years,01/02/2018,,House Ads,TRUE
a100000051,01/02/2018,House Ads,personalization,TRUE,English,English,30-36 years,01/02/2018,,House Ads,TRUE
a100000051,01/01/2018,Push,personalization,FALSE,English,English,30-36 years,01/02/2018,,House Ads,TRUE
a100000052,01/02/2018,House Ads,personalization,TRUE,English,English,36-45 years,01/02/2018,,House Ads,TRUE
a100000052,01/01/2018,House Ads,personalization,FALSE,English,English,36-45 years,01/02/2018,,House Ads,TRUE
a100000053,01/02/2018,House Ads,personalization,TRUE,English,English,45-55 years,01/02/2018,,House Ads,TRUE
a100000053,01/01/2018,House Ads,personalization,FALSE,English,English,45-55 years,01/02/2018,,House Ads,TRUE
a100000054,01/02/2018,House Ads,personalization,TRUE,English,English,55+ years,01/02/2018,,House Ads,TRUE
a100000054,01/01/2018,House Ads,personalization,FALSE,English,English,55+ years,01/02/2018,,House Ads,TRUE
a100000055,01/02/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/02/2018,,House Ads,TRUE
a100000055,01/01/2018,Push,personalization,FALSE,English,English,0-18 years,01/02/2018,,House Ads,TRUE
a100000056,01/02/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/02/2018,,House Ads,TRUE
a100000056,01/01/2018,Facebook,personalization,FALSE,English,English,19-24 years,01/02/2018,,House Ads,TRUE
a100000057,01/02/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/02/2018,,House Ads,TRUE
a100000057,01/01/2018,Instagram,personalization,FALSE,English,English,24-30 years,01/02/2018,,House Ads,TRUE
a100000058,01/02/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/02/2018,,House Ads,TRUE
a100000058,01/01/2018,Instagram,personalization,FALSE,English,English,0-18 years,01/02/2018,,House Ads,TRUE
a100000059,01/02/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/02/2018,2/19/18,House Ads,FALSE
a100000059,01/01/2018,Facebook,personalization,FALSE,English,English,19-24 years,01/02/2018,2/19/18,House Ads,FALSE
a100000060,01/02/2018,House Ads,personalization,TRUE,German,German,24-30 years,01/02/2018,03/08/2018,House Ads,FALSE
a100000060,01/01/2018,House Ads,personalization,FALSE,German,German,24-30 years,01/02/2018,03/08/2018,House Ads,FALSE
a100000061,01/02/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/02/2018,02/05/2018,House Ads,FALSE
a100000061,01/01/2018,House Ads,personalization,FALSE,English,English,0-18 years,01/02/2018,02/05/2018,House Ads,FALSE
a100000062,01/03/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/03/2018,01/11/2018,House Ads,FALSE
a100000062,01/01/2018,House Ads,personalization,FALSE,English,English,19-24 years,01/03/2018,01/11/2018,House Ads,FALSE
a100000063,01/03/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/03/2018,01/06/2018,House Ads,FALSE
a100000063,01/01/2018,House Ads,personalization,FALSE,English,English,24-30 years,01/03/2018,01/06/2018,House Ads,FALSE
a100000064,01/03/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/03/2018,03/01/2018,House Ads,FALSE
a100000064,01/01/2018,Push,personalization,FALSE,English,English,0-18 years,01/03/2018,03/01/2018,House Ads,FALSE
a100000065,01/03/2018,House Ads,personalization,TRUE,English,English,19-24 years,01/03/2018,04/02/2018,House Ads,FALSE
a100000065,01/01/2018,House Ads,personalization,FALSE,English,English,19-24 years,01/03/2018,04/02/2018,House Ads,FALSE
a100000066,01/03/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/03/2018,03/02/2018,House Ads,FALSE
a100000066,01/01/2018,House Ads,personalization,FALSE,English,English,24-30 years,01/03/2018,03/02/2018,House Ads,FALSE
a100000067,01/03/2018,House Ads,control,TRUE,English,English,0-18 years,01/03/2018,01/05/2018,House Ads,FALSE
a100000068,01/03/2018,House Ads,control,TRUE,English,English,19-24 years,01/03/2018,,House Ads,TRUE
